"doi";"field";"value_source_1";"value_source_2"
"10.1101/2022.03.29.22273148";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.04.03.22273268";"sciscore";"1";"2"
"10.1101/2022.04.03.22273268";"ethics_value1";"notrequired.";"Ethics approval: The Institutional Review Board of the Clinical Research and Genome Research Committee at Yamanashi Central Hospital approved this study and the use of an opt-out consent method (Approval No. C2019-30)."
"10.1101/2022.04.03.22273268";"Inclusion and Exclusion Criteria";"notrequired.";"notdetected."
"10.1101/2022.04.03.22273268";"Attrition";"notrequired.";"notdetected."
"10.1101/2022.04.03.22273268";"Sex as a biological variable";"notrequired.";"notdetected."
"10.1101/2022.04.03.22273268";"Subject Demographics";"notrequired.";"notdetected."
"10.1101/2022.04.03.22273268";"ethics_statement_detected";"FALSE";"TRUE"
"10.1101/2022.04.03.22273268";"ethics_titles";"NA,NA,NA";"IRB,Consent,NA"
"10.1101/2022.04.03.22273268";"has_consent";"FALSE";"TRUE"
"10.1101/2022.04.03.22273268";"has_IRB_or_consent";"FALSE";"TRUE"
"10.1101/2022.04.04.22273344";"Power Analysis";"notdetected.";"Sample size and recruitment methods: The sample size was estimated using the double population proportion formula by the statcalc program of Epi info software, considering unmatched case-control study assumptions."
"10.1101/2022.04.04.22273344";"power_analysis_detected";"FALSE";"TRUE"
"10.1101/2022.04.05.22272397";"sciscore";"1";"4"
"10.1101/2022.04.05.22272397";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.04.05.22273473";"limitations";"17";"0"
"10.1101/2022.04.05.22273473";"Sex as a biological variable";"Data extraction and management Following specific information will be extracted: (a) study characteristics include title, author names, journal of publication, year, follow-up durations, etc. (b) participant/population characteristics including sample sizes, proportions of males, age, etc.";"notdetected."
"10.1101/2022.04.05.22273473";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.04.05.22273473";"limitations_detected";"TRUE";"FALSE"
"10.1101/2022.04.05.22273473";"sex_variable_detected";"TRUE";"FALSE"
"10.1101/2022.04.06.22273512";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.06.22273514";"Randomization";"33] (Figure 1) [ Figure 1] STIMULATE-ICP is funded by the National Institute for Health Research (NIHR: COV-LT2- 0043)[34] and combines clinical epidemiological studies, a complex randomised trial exploring the benefit of an ICP for Long COVID (IRAS: 1004698), and mixed methods studies exploring inequalities of care and transferability of the ICP to other LTCs (IRAS: 303958).";"Study design and procedures: This STIMULATE-ICP-DELPHI sub-study of the STIMULATE-ICP project (Symptoms, Trajectory, Inequalities and Management: Understanding Long COVID to Address and Transform Existing Integrated Care Pathways).(33) (Figure 1) STIMULATE-ICP is funded by the National Institute for Health Research (NIHR: COV-LT2-0043)(34) and combines clinical epidemiological studies, a complex randomised trial exploring the benefit of an ICP for Long COVID (IRAS: 1004698), and mixed methods studies exploring inequalities of care and transferability of the ICP to other LTCs (IRAS: 303958)."
"10.1101/2022.04.06.22273514";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.04.06.22273526";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.06.22273526";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.04.06.22273535";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.06.22273535";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.04.06.487394";"jet_pages";"1";"0"
"10.1101/2022.04.06.487394";"has_jet_pages";"TRUE";"FALSE"
"10.1101/2022.04.07.22273430";"sciscore";"2";"3"
"10.1101/2022.04.07.22273430";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.04.07.22273561";"sciscore";"1";"6"
"10.1101/2022.04.07.22273561";"ethics_value1";"notrequired.";"We adopted the study design from a previous study evaluating the effect of COVID-19 measures on health care use in the UK.(Mansfield et al. 2021) The Human Research Ethics Committee of the University of Cape Town and the Cantonal Ethics Committee of the Canton of Bern granted permission to analyse the data."
"10.1101/2022.04.07.22273561";"Inclusion and Exclusion Criteria";"notrequired.";"Individuals with missing information on sex or age were excluded."
"10.1101/2022.04.07.22273561";"Attrition";"notrequired.";"notdetected."
"10.1101/2022.04.07.22273561";"Subject Demographics";"Methods We did an interrupted time series analysis using insurance claims from January 1, 2017, to June 1, 2020 of beneficiaries 18 years or older from a large private sector medical aid scheme.";"Study population: We followed beneficiaries of one of South Africa’s largest open medical schemes that insured over 700,000 individuals as of 2019.(Council for Medical Schemes 2020) It has a young membership base with an average age of about 33.(Council for Medical Schemes 2020) We included beneficiaries aged 18 years or older who had an active health care plan between January 1, 2017, and June 28, 2020."
"10.1101/2022.04.07.22273561";"ethics_statement_detected";"FALSE";"TRUE"
"10.1101/2022.04.07.22273561";"inclusion_criteria_detected";"FALSE";"TRUE"
"10.1101/2022.04.07.22273561";"ethics_titles";"NA,NA,NA";"IRB,NA,NA"
"10.1101/2022.04.07.22273561";"has_IRB_only";"FALSE";"TRUE"
"10.1101/2022.04.07.22273593";"Inclusion and Exclusion Criteria";"* Booster shot (any booster shot after completing initial vaccine schedule) At the start of 2022, all MA residents ages 5 and over were eligible to be vaccinated, and all residents ages 12 and over were eligible for the booster.";"We extracted data on two key constructs reported in the MA DPH vaccine database: At the start of 2022, all MA residents ages 5 and over were eligible to be vaccinated, and all residents ages 12 and over were eligible for the booster."
"10.1101/2022.04.07.22273593";"Sex as a biological variable";"The ZIP-code-by-sex data were nearly complete for self-identified ""males"" and ""females"".";"Data for the category “neither male nor female” were frequently suppressed due to small numbers (70% of ZIP codes were missing data on this group for vaccines, and 92% were missing data on boosters)."
"10.1101/2022.04.07.22273593";"Subject Demographics";"Using the Census ACS estimates we derived zip code level ""percent college graduates over the age of 25 years"", ""percent Black, Latino, or Indigenous"", ""percent essential workers"", and ""median household income"".";"We additionally constructed a series of variables to capture differences in age composition across ZIP codes: % of ZIP-code residents aged 0-4 years, % 5-19 years, % 20-39 years, % 40-64 years, % 65+ years."
"10.1101/2022.04.07.22273593";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.07.487460";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.08.22273602";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.08.22273605";"jet_pages";"1";"0"
"10.1101/2022.04.08.22273605";"sciscore";"3";"4"
"10.1101/2022.04.08.22273605";"has_jet_pages";"TRUE";"FALSE"
"10.1101/2022.04.08.22273608";"ethics_value2";"The research protocol was approved by the Ethics Committee for Research with Human Beings of Universidade Evangelica (UNIEVANGELICA) on September 24, 2020, under protocol number 4,235,203.";"The research protocol was approved by the Ethics Committee for Research with Human Beings of Universidade Evangélica de Goiás (UNIEVANGÉLICA) on September 24, 2020, under protocol number 4,235,203."
"10.1101/2022.04.08.22273608";"Inclusion and Exclusion Criteria";"Inclusion criteria The following are the inclusion criteria: Age 16-75 years Patients who have been affected by COVID-19 and with impaired lung function clinical trial was registered at ClinicalTrials.gov (ID: de Goias COVID-19 Clinically stabilized patients Patients who agreed to participate in the pulmonary rehabilitation program for at least 12 weeks and signed a free and informed consent form Exclusion criteria The following are the exclusion criteria: Hospitalized patients Patients affected with chronic neurological diseases that make it impossible to understand and perform physical activities Patients suffering from hypertension and cardiovascular conditions without medical treatment Patients affected with acute phase of rheumatologic disorders Patients who have recent musculoskeletal disorders and who are not fully recovered from their injuries Patients affected with chronic mental and/or psychological disturbances Presence of terminal neoplastic disease Red flags for serious conditions (night pain, severe muscle spasm, loss of involuntary weight, and symptom mismatch) Patients classified as severe cases according to the following criteria will also be excluded.";"Participants: recruitment and eligibility criteria: To be involved in this clinical study, according to the inclusion criteria, women and men aged between 16 and 75 years affected by COVID-19 will be invited."
"10.1101/2022.04.08.22273608";"Sex as a biological variable";"To be involved in this clinical study, according to the inclusion criteria, women and men aged between 16 and 75 years affected by COVID-19.";"Participants: recruitment and eligibility criteria: To be involved in this clinical study, according to the inclusion criteria, women and men aged between 16 and 75 years affected by COVID-19 will be invited."
"10.1101/2022.04.08.22273608";"Subject Demographics";"Inclusion criteria The following are the inclusion criteria: Age 16-75 years Patients who have been affected by COVID-19 and with impaired lung function clinical trial was registered at ClinicalTrials.gov (ID: de Goias COVID-19 Clinically stabilized patients Patients who agreed to participate in the pulmonary rehabilitation program for at least 12 weeks and signed a free and informed consent form Exclusion criteria The following are the exclusion criteria: Hospitalized patients Patients affected with chronic neurological diseases that make it impossible to understand and perform physical activities Patients suffering from hypertension and cardiovascular conditions without medical treatment Patients affected with acute phase of rheumatologic disorders Patients who have recent musculoskeletal disorders and who are not fully recovered from their injuries Patients affected with chronic mental and/or psychological disturbances Presence of terminal neoplastic disease Red flags for serious conditions (night pain, severe muscle spasm, loss of involuntary weight, and symptom mismatch) Patients classified as severe cases according to the following criteria will also be excluded.";"Inclusion criteria: The following are the inclusion criteria: Age 16–75 years Patients who have been affected by COVID-19 and with impaired lung function Clinically stabilized patients Patients who agreed to participate in the pulmonary rehabilitation program for at least 12 weeks and signed a free and informed consent form Exclusion criteria: The following are the exclusion criteria: Hospitalized patients Patients affected with chronic neurological diseases that make it impossible to understand and perform physical activities Patients suffering from hypertension and cardiovascular conditions without medical treatment Patients affected with acute phase of rheumatologic disorders Patients who have recent musculoskeletal disorders and who are not fully recovered from their injuries Patients affected with chronic mental and/or psychological disturbances Presence of terminal neoplastic disease Red flags for serious conditions (night pain, severe muscle spasm, loss of involuntary weight, and symptom mismatch) Patients classified as severe cases according to the following criteria will also be excluded."
"10.1101/2022.04.08.22273608";"Blinding";"Methods This study will be a cohort, parallel, two-arm multicentric study, to be carried out in three clinical centers, with blind evaluation, with 06 weeks of training and follow-up.";"Study design: This study will be a cohort, parallel, two-arm multicentric study, to be carried out in three clinical centers, with blind transversal and longitudinal evaluation, with 06 weeks of training and follow-up."
"10.1101/2022.04.08.22273608";"is_modeling_paper";"TRUE";"FALSE"
"10.1101/2022.04.11.22272784";"limitations";"10";"0"
"10.1101/2022.04.11.22272784";"sciscore";"4";"5"
"10.1101/2022.04.11.22272784";"Randomization";"Root-to-tip analysis To examine the rate at which the patient's virus accumulated mutations, and compare that rate with SARS-CoV-2 globally, we randomly subsampled approximately 5,000 SARS-CoV-2 sequences from NCBI GenBank.";"Root-to-tip analysis: To examine the rate at which the patient’s virus accumulated mutations, and compare that rate with SARS-CoV-2 globally, we randomly subsampled approximately 5,000 SARS-CoV-2 sequences 33 from the GISAID global dataset using scripts made available in the Nextstrain command line interface 34."
"10.1101/2022.04.11.22272784";"limitations_detected";"TRUE";"FALSE"
"10.1101/2022.04.11.22273709";"sciscore";"2";"5"
"10.1101/2022.04.11.22273709";"Inclusion and Exclusion Criteria";"notrequired.";"Included studies met the following criteria: (i) patients were diagnosed with COVID-19 based on the WHO criteria; (ii) patients were received anti-depressants; and (iii) severity predictors (hospitalization due to COVID-19 and/or ARDS and/or need to NIV or mechanical ventilation and/or ICU admission and/or death)."
"10.1101/2022.04.11.22273709";"Blinding";"notdetected.";"Quality assessment: Two blinded reviewers assessed the quality of the studies using three different assessment tools (checklists): two for observational studies (case controls and cohorts) and one for experimental studies (14)."
"10.1101/2022.04.11.22273709";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.04.11.22273709";"blinding_detected";"FALSE";"TRUE"
"10.1101/2022.04.11.22273709";"inclusion_criteria_detected";"FALSE";"TRUE"
"10.1101/2022.04.12.22273761";"Attrition";"Five probes were designed to be selective for each of the mutations (Table 1, 2), as well as a universal probe for the ""Universal"" probe complementary to a nearby, highly conserved (bp 28891-28905, mutation rates <0.87% according to covidcg.";"Five probes were designed to be selective for each of the mutations (Table 1, 2), as well as a universal probe for the “Universal” probe complementary to a nearby, highly conserved (bp 28891-28905, mutation rates <0.87% according to covidcg.org) region of the amplicon to detect total SARS-CoV-2"
"10.1101/2022.04.12.22273761";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.12.488010";"Sex as a biological variable";"notdetected.";"In-vivo experiments: Male Golden Syrian hamsters age 6-8 week were treated with siRNA cocktails at days −7, −3 and −1 pre-infection."
"10.1101/2022.04.12.488010";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.12.488010";"sex_variable_detected";"FALSE";"TRUE"
"10.1101/2022.04.13.22273817";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.13.22273817";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.04.13.22273832";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.13.22273832";"Inclusion and Exclusion Criteria";"Data that did not relate to the key findings outlined above were excluded from this portion of the analysis.";"The four key findings identified from the NICE report were: Data that did not relate to the key findings outlined above were excluded from this portion of the analysis."
"10.1101/2022.04.13.488249";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.14.22273858";"sciscore";"1";"6"
"10.1101/2022.04.14.22273858";"ethics_value1";"notrequired.";"Starting from a precompiled list of 18 references based on our primary research on the effects of non-pharmaceutical interventions, we created and repeatedly extended a collection of synonyms for each of the above components, thereby achieving a broad search while keeping the number of selected studies manageable."
"10.1101/2022.04.14.22273858";"Inclusion and Exclusion Criteria";"notrequired.";"In contrast, we excluded analyses assessing the effects of non-pharmaceutical interventions solely on other outcomes not directly related to infectious diseases (e. g. psychological well-being or economic activities)."
"10.1101/2022.04.14.22273858";"Attrition";"(i) Description of change over time The large majority of analyses following a descriptive approach examined the change of the outcome over time to assess the intervention effect (n=136; 48 %).";"notrequired."
"10.1101/2022.04.14.22273858";"Blinding";"notdetected.";"During the first round, two authors (AL and NB) extracted data from an initial set of 20 publications, blinded to each other’s coding."
"10.1101/2022.04.14.22273858";"blinding_detected";"FALSE";"TRUE"
"10.1101/2022.04.14.22273858";"ethics_statement_detected";"FALSE";"TRUE"
"10.1101/2022.04.14.22273858";"inclusion_criteria_detected";"FALSE";"TRUE"
"10.1101/2022.04.14.22273858";"attrition_detected";"TRUE";"FALSE"
"10.1101/2022.04.14.22273858";"ethics_titles";"NA,NA,NA";"Field Sample Permit,NA,NA"
"10.1101/2022.04.14.22273860";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.04.14.22273903";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.14.22273903";"is_modeling_paper";"FALSE";"TRUE"
"10.1101/2022.04.14.22273903";"funding_statement";"TRUE";"FALSE"
"10.1101/2022.04.15.22273915";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.16.22273937";"Inclusion and Exclusion Criteria";"Eligibility criteria 1.";"Eligibility criteria: Data extraction and selection process: Every step of the data extraction process from the original source was guided by PRISMA 2020, which was used to guide the process."
"10.1101/2022.04.17.22273949";"sciscore";"3";"4"
"10.1101/2022.04.17.22273949";"Randomization";"Downsampling simulation In order to estimate the SARS-CoV-2 N gene and PMMoV RNA concentration we would have obtained if we had run a smaller number of wells (X = 1 - 9), we randomly selected X wells from the 10 wells to calculate the resultant concentration: number of negative droplets Concentration (cp/L) = -ln = / 0.00085L total accepted droplets where 0.00085 mL is the volume of a single droplet14.";"Downsampling simulation: In order to estimate the SARS-CoV-2 N gene and PMMoV RNA concentration we would have obtained if we had run a smaller number of wells (X = 1 - 9), we randomly selected X wells from the 10 wells to calculate the resultant concentration:where 0.00085 μL is the volume of a single droplet14."
"10.1101/2022.04.19.488843";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.04.20.485440";"sciscore";"2";"3"
"10.1101/2022.04.20.485440";"ethics_value1";"Methods Ethics The animal experiments were evaluated and approved by the ethics committee of the State Office of Agriculture, Food safety, and Fishery in Mecklenburg - Western Pomerania (LALLF M-V: LVL MV/TSD/7221.3-1-055/20) and the State Office for Occupational Safety, Consumer Protection and Health in Brandenburg (LAVG: 2347-5-2021).";"Ethics: The animal experiments were evaluated and approved by the ethics committee of the State Office of Agriculture, Food safety, and Fishery in Mecklenburg–Western Pomerania (LALLF M-V: LVL MV/TSD/7221.3-1-055/20) and the State Office for Occupational Safety, Consumer Protection and Health in Brandenburg (LAVG: 2347-5-2021)."
"10.1101/2022.04.20.485440";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.21.22274139";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.04.21.22274150";"sciscore";"3";"6"
"10.1101/2022.04.25.22274283";"sciscore";"7";"4"
"10.1101/2022.04.25.22274283";"Subject Demographics";"The study will recruit and enroll up to 375 community dwelling older adults (age 60 or older) to reach the target number of randomized subjects of n=150 in each group.";"Participants: The study will recruit and enroll up to 375 community dwelling older adults (age 60 or older) to reach the target number of randomized subjects of n=150 in each group."
"10.1101/2022.04.25.22274283";"Randomization";"This is a randomized trial registered at clinicaltrials.gov (NCT03343483).";"Study design, setting, ethical considerations: This is a randomized trial registered at clinicaltrials.gov (NCT03343483)."
"10.1101/2022.04.25.22274283";"Power Analysis";"Sample size calculation.";"Sample size calculation: A power analysis was conducted to test treatment effects by the intent-to-treat (ITT) analysis for the primary outcomes."
