"doi";"field";"value_source_1";"value_source_2"
"10.1101/2022.05.25.22275592";"Sex as a biological variable";"Methods Using the linked administrative health databases from Manitoba, Canada, we conducted a quasiexperimental study among all pregnant women, comparing 3.5 years pre-pandemic (1 October 2016 to 29 February 2020) to the first year of the pandemic (1 March 2020 to 31 March 2021).";"35 Exposure and Outcomes: Pregnant women exposed to the pandemic restrictions during the first and second waves between March 1, 2020, and March 31, 2021, were compared to those who were pregnant before the pandemic period."
"10.1101/2022.05.25.22275592";"is_modeling_paper";"TRUE";"FALSE"
"10.1101/2022.05.25.22275610";"Attrition";"BA.2.3 was first detected from two cases collected on 2022- 01-11 in the Gulf Coast and the Anchorage-Mat Su regions of Alaska.";"notrequired."
"10.1101/2022.05.25.22275610";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.05.25.22275610";"attrition_detected";"TRUE";"FALSE"
"10.1101/2022.05.26.22275279";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.05.26.22275279";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.05.26.22275631";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.05.26.22275631";"Subject Demographics";"Similar protective effects of nirmatrelvir/ritonavir were observed across vaccination status (fully vaccinated versus otherwise) and age (dichotomized at 65 years), whereas those for molnupiravir were less consistent.";"Study design and data sources: A territory-wide observational study was conducted to examine the effectiveness of oral antiviral treatment against COVID-19 mortality or hospitalization in non-institutionalized, aged 18 or above, COVID-19 patients in Hong Kong Special Administrative Region, China, during the Omicron BA.2 wave from 1st January 2022 onward."
"10.1101/2022.05.27.22275037";"ethics_title1";"IRB";"Euthanasia Agents"
"10.1101/2022.05.27.22275037";"ethics_value1";"It was approved by the Institutional Review Board at Weill Cornell Medicine with a waiver of informed consent (no. 20-04021909).";"Time-dependent confounders included heart rate, pulse oximetry percentage, respiratory rate, temperature, blood pressure (systolic and diastolic), BUN-creatinine ratio, creatinine, neutrophils, lymphocytes, platelets, bilirubin, blood glucose, D-dimers, C-reactive protein, activated partial thromboplastin time, prothrombin time, arterial partial pressure of oxygen, and arterial partial pressure of carbon dioxide, and level of supplemental oxygen support."
"10.1101/2022.05.27.22275037";"Inclusion and Exclusion Criteria";"Population Inclusion criteria is adult COVID-19 positive patients who were admitted to NYPH's Cornell, Lower Manhattan, or Queens locations.";"2.1.1 Population: Inclusion criteria is all adult patients with COVID-19 who were admitted to New-York-Presbyterian Hospital (NYPH)/Weill Cornell, Lower Manhattan Hospital, or NYPH Queens."
"10.1101/2022.05.27.22275037";"Randomization";"Hypothetical treatment regime Patients would be randomized on their first day of hospitalization to receive either (1)standard of care therapy (without corticosteroids) or (2)standard of care plus a corticosteroid regimen to be administered if and when criteria for severe hypoxia are met.";"The estimand principle is advocated by the Food and Drug Administration for the analysis of randomized trials(23), and we argue that it should also be followed by studies that seek to establish causal relations by analyzing observational data."
"10.1101/2022.05.27.22275037";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.05.27.22275037";"ethics_titles";"IRB,Consent,NA";"Euthanasia Agents,NA,NA"
"10.1101/2022.05.27.22275037";"has_consent";"TRUE";"FALSE"
"10.1101/2022.05.27.22275037";"has_IRB_or_consent";"TRUE";"FALSE"
"10.1101/2022.05.27.22275037";"is_animal_study";"FALSE";"TRUE"
"10.1101/2022.05.27.22275673";"ethics_value1";"All protocols were approved by the Hamilton Integrated Research Ethics Board and other site-specific research ethics boards, and informed consent was obtained.";"All protocols were approved by the Hamilton Integrated Research Ethics Board, and informed consent was obtained."
"10.1101/2022.05.27.22275673";"ethics_value2";"All protocols were approved by the Hamilton Integrated Research Ethics Board and other site-specific research ethics boards, and informed consent was obtained.";"All protocols were approved by the Hamilton Integrated Research Ethics Board, and informed consent was obtained."
"10.1101/2022.05.27.22275673";"Subject Demographics";"For this manuscript, humoral and cellular data were retrospectively assessed in context of CMV serostatus from a cohort of 186 participants, 65 years of age and older.";"Participant Recruitment and Blood Collection: Blood was collected from 188 participants, 65 years of age and older, in assisted living facilities (3 retirement homes and 14 nursing homes), in Ontario, Canada, between March and December 2021."
"10.1101/2022.05.27.493400";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.05.28.22275432";"sciscore";"4";"3"
"10.1101/2022.05.28.22275432";"Attrition";"The rise of active cases of November with respect to October is analogous to a change of 59 cases (3,234 cases on 1 November - 3,293 on 26 November).";"notrequired."
"10.1101/2022.05.28.22275432";"is_modeling_paper";"TRUE";"FALSE"
"10.1101/2022.05.28.22275432";"attrition_detected";"TRUE";"FALSE"
"10.1101/2022.05.30.494036";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.05.31.22275835";"sciscore";"2";"1"
"10.1101/2022.05.31.22275835";"Sex as a biological variable";"Omicron cases were similar in terms of age (median = 33 and 30 years respectively) and sex (49.3% vs 50.1% female, respectively), but not vaccination status: 87.2% of Omicron cases had received at least one vaccine dose, compared to only 55.4% of Delta cases.";"notrequired."
"10.1101/2022.05.31.22275835";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.05.31.22275835";"sex_variable_detected";"TRUE";"FALSE"
"10.1101/2022.05.31.494162";"Inclusion and Exclusion Criteria";"Inclusion criteria required that subjects were symptomatic (fever, chills, conjunctival congestion, nasal congestion, headaches, cough, sputum production, sore throat, shortness of breath, nausea or vomiting, diarrhea, myalgia, fatigue, rash, lymphadenopathy, or confusion) and had a physician-ordered SARS-CoV- test performed in the course of their normal clinical care.";"Study participants: The patients included in this study were part of a prospective observational cohort of subjects with COVID-19-related symptoms who presented to Barnes-Jewish Hospital or affiliated Barnes-Jewish Hospital testing sites in Saint Louis, Missouri, USA, between March and September of 2020."
"10.1101/2022.05.31.494162";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.05.31.494211";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.01.22275778";"Sex as a biological variable";"Biological sex is one of the factors that potentially moderate the effect of pandemic associated changes on young people, since it is known that insomnia is more common among females than males since puberty (9).";"notdetected."
"10.1101/2022.06.01.22275778";"Randomization";"Method As part of a territory-wide epidemiological study in Hong Kong, this cross-sectional study recruited primary and secondary school students by stratified random sampling.";"The study adopted a two-stage random sampling method."
"10.1101/2022.06.01.22275778";"sex_variable_detected";"TRUE";"FALSE"
"10.1101/2022.06.01.494373";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.06.01.494373";"Randomization";". A. Blank et al., Immunization with full-length Plasmodium falciparum merozoite surface protein 1 is safe and elicits functional cytophilic antibodies in a randomized first-in-human trial.";"notdetected."
"10.1101/2022.06.01.494373";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.01.494373";"randomization_detected";"TRUE";"FALSE"
"10.1101/2022.06.01.494451";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.02.494567";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.06.03.494642";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.05.493249";"sciscore";"3";"2"
"10.1101/2022.06.05.493249";"ethics_value1";"Funds This work was supported by National Natural Science Foundation of China (11902023), National Key R&D Program of China (2021YFC2103903) and Open Project Fund (pilab1902) of the State Key Laboratory of Precision Measuring Technology and Instruments (Tianjin University).";"notrequired."
"10.1101/2022.06.05.493249";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.05.493249";"ethics_statement_detected";"TRUE";"FALSE"
"10.1101/2022.06.05.493249";"ethics_titles";"Field Sample Permit,NA,NA";"NA,NA,NA"
"10.1101/2022.06.05.494856";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.06.06.22275865";"jet_pages";"1";"0"
"10.1101/2022.06.06.22275865";"Attrition";"Proliferation assay T cell proliferation assessed the magnitude of memory responses to SARS-CoV2 spike, M and N protein in the CD4+ and CD8+ T cell pool in 73 individuals selected for the ICS assay, with 27 participants from the BNT162b2 short interval group (16 naive and 11 with hybrid immunity), 27 participants from the BNT162b2 long interval group (15 naive and 12 with hybrid immunity) and 19 participants from the AZD1222 group (8 naive and 11 with hybrid immunity).";"Proliferation assay: T cell proliferation assessed the magnitude of memory responses to SARS-CoV2 spike, M and N protein in the CD4+ and CD8+ T cell pool in 73 individuals selected for the ICS assay, with 27 participants from the BNT162b2 short interval group (16 naïve and 11 previously infected), 27 participants from the BNT162b2 long interval group (15 naïve and 12 previously infected) and 19 participants from the AZD1222 group (8 naïve and 11 previously infected)."
"10.1101/2022.06.06.22275865";"has_jet_pages";"TRUE";"FALSE"
"10.1101/2022.06.06.22276032";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.06.06.22276032";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.06.06.494494";"jet_pages";"3";"0"
"10.1101/2022.06.06.494494";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.06.06.494494";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.06.494494";"has_jet_pages";"TRUE";"FALSE"
"10.1101/2022.06.07.22276055";"sciscore";"5";"4"
"10.1101/2022.06.07.22276055";"Attrition";"Three cases of Delta variant infections (GISAID ID: EPI_ISL_2885447, EPI_ISL_2885451, and EPI_ISL_2885452) were first confirmed by clinical tests on June 27 and reported on July 9 in Champaign County (Fig. S8).";"notrequired."
"10.1101/2022.06.07.22276055";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.07.22276055";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.06.07.22276055";"attrition_detected";"TRUE";"FALSE"
"10.1101/2022.06.07.22276117";"trial_n_detected";"TRUE";"FALSE"
"10.1101/2022.06.07.22276117";"sciscore";"3";"2"
"10.1101/2022.06.09.22276192";"ethics_value1";"The antibody index is a numerical representation of 114 the measured fluorescence signal given off by the test reaction that took place within the F2400 115 Analyzer. 116 117 Ethical Consideration: All research activities and protocols were approved by the Committee for 118 Human Research and Ethics at the University of Energy and Natural Resources with reference 119 number CHRE/AP/09/021.";"Ethical Consideration: All research activities and protocols were approved by the Committee for Human Research and Ethics at the University of Energy and Natural Resources with reference number CHRE/AP/09/021."
"10.1101/2022.06.09.22276228";"ethics_value1";"SS3501 et seq), and were determined to be public health surveillance with waiver of informed consent by institutional review boards at CDC and each enrolling site.";"C.F.R. part 46.102(l)(2), 21 C.F.R. part 56; 42 U.S.C. §241(d); 5 U.S.C. §552a; 44 U.S.C. §3501 et seq), and were determined to be public health surveillance with waiver of informed consent by institutional review boards at CDC and each enrolling site."
"10.1101/2022.06.09.22276228";"ethics_value2";"SS3501 et seq), and were determined to be public health surveillance with waiver of informed consent by institutional review boards at CDC and each enrolling site.";"C.F.R. part 46.102(l)(2), 21 C.F.R. part 56; 42 U.S.C. §241(d); 5 U.S.C. §552a; 44 U.S.C. §3501 et seq), and were determined to be public health surveillance with waiver of informed consent by institutional review boards at CDC and each enrolling site."
"10.1101/2022.06.10.22276234";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.06.10.22276268";"funding_statement";"TRUE";"FALSE"
"10.1101/2022.06.11.22276272";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.06.12.22276088";"sciscore";"3";"2"
"10.1101/2022.06.12.22276088";"ethics_value1";"notrequired.";"The protocol was approved by the ethics committees at all participating centers."
"10.1101/2022.06.12.22276088";"Inclusion and Exclusion Criteria";"notrequired.";"notdetected."
"10.1101/2022.06.12.22276088";"Attrition";"Patients received either opaganib (n=230; 500mg twice daily) or matching placebo (n=233) for 14 days.";"notdetected."
"10.1101/2022.06.12.22276088";"Sex as a biological variable";"notrequired.";"notdetected."
"10.1101/2022.06.12.22276088";"Subject Demographics";"notrequired.";"notdetected."
"10.1101/2022.06.12.22276088";"Randomization";"Methods A randomized, placebo-controlled, double-blind phase 2/3 trial was conducted in 60 sites worldwide from August 2020 to July 2021.";"STUDY SETTINGS AND TRIAL DESIGN: This clinical trial was a multicenter, phase 2/3, randomized, double-blind, placebo-controlled, opaganib treatment study involving patients diagnosed with COVID-19 infection defined by eligibility criteria generally aligned with the World Health Organization (WHO) Ordinal Scale for Clinical Improvement level 5."
"10.1101/2022.06.12.22276088";"Blinding";"notdetected.";"Treatment assignments were blinded to the patient, investigator, and hospital staff, as well as the sponsor."
"10.1101/2022.06.12.22276088";"blinding_detected";"FALSE";"TRUE"
"10.1101/2022.06.12.22276088";"ethics_statement_detected";"FALSE";"TRUE"
"10.1101/2022.06.12.22276088";"attrition_detected";"TRUE";"FALSE"
"10.1101/2022.06.12.22276088";"ethics_titles";"NA,NA,NA";"IRB,Consent,NA"
"10.1101/2022.06.12.22276088";"has_consent";"FALSE";"TRUE"
"10.1101/2022.06.12.22276088";"has_IRB_or_consent";"FALSE";"TRUE"
"10.1101/2022.06.12.22276299";"Inclusion and Exclusion Criteria";"Review articles were excluded.";"Study design and eligibility criteria: The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) approach served as template for this review [15]."
"10.1101/2022.06.12.22276299";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.06.13.22276314";"limitations";"15";"0"
"10.1101/2022.06.13.22276314";"sciscore";"2";"1"
"10.1101/2022.06.13.22276314";"Inclusion and Exclusion Criteria";"The Ad26.COV2.S vaccine was excluded from this analysis due to few reports.";"notdetected."
"10.1101/2022.06.13.22276314";"limitations_detected";"TRUE";"FALSE"
"10.1101/2022.06.13.22276314";"inclusion_criteria_detected";"TRUE";"FALSE"
"10.1101/2022.06.14.496062";"jet_pages";"4";"0"
"10.1101/2022.06.14.496062";"Attrition";"Two participants were excluded after their in-house RT-qPCR results remained negative and contradicted their initial diagnosis.";"In total 126 participants were enrolled."
"10.1101/2022.06.14.496062";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.14.496062";"has_jet_pages";"TRUE";"FALSE"
"10.1101/2022.06.15.496220";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.16.22276392";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.06.17.22276576";"sciscore";"2";"1"
"10.1101/2022.06.17.22276576";"ethics_value1";"notdetected.";"notrequired."
"10.1101/2022.06.17.22276576";"Subject Demographics";"We define the first Ui , Personal Factor as: Pi = wA NA,i NI,i + wI N0,i N0,i {0 <= wA , wI <= 1 wA + wI = 1 (Eq. 3) where wA is a weight factor for inhabitants of age, (A, i) >= 65 years old, NA,i is the total number of people A, i >= 65, wI is a weight factor for an annual income, I, i <= $50,000, NI,i is the total number of people with I, i <= $50,000, and N0,i is the total number of people living in the region i.";"We define the first Ui, Personal Factor as:where wA is a weight factor for inhabitants of age, (A, i)≥ 65 years old, NA,iis the total number of people A, i ≥ 65, wI is a weight factor for an annual income, I, i ≤ $50,000, NI,i is the total number of people with I, i ≤ $50,000, and N0,i is the total number of people living in the region i."
"10.1101/2022.06.17.22276576";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.17.22276576";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.06.21.22276720";"sciscore";"3";"2"
"10.1101/2022.06.21.22276720";"ethics_value1";"Additionally, ethical approval to conduct this research has been obtained from the Ottawa Health Sciences Research Ethics Board (OHSN REB) prior to the start of all research activities.";"notrequired."
"10.1101/2022.06.21.22276720";"Sex as a biological variable";"notdetected.";"notrequired."
"10.1101/2022.06.21.22276720";"Subject Demographics";"notdetected.";"notrequired."
"10.1101/2022.06.21.22276720";"is_modeling_paper";"FALSE";"TRUE"
"10.1101/2022.06.21.22276720";"registration_statement";"FALSE";"TRUE"
"10.1101/2022.06.21.22276720";"ethics_statement_detected";"TRUE";"FALSE"
"10.1101/2022.06.21.22276720";"ethics_titles";"IRB,NA,NA";"NA,NA,NA"
"10.1101/2022.06.21.22276720";"has_IRB_only";"TRUE";"FALSE"
"10.1101/2022.06.24.22276144";"sciscore";"1";"4"
"10.1101/2022.06.24.22276144";"ethics_value1";"notrequired.";"Study approval: This study was registered with Clinical Trials Ontario and was approved by both the Sunnybrook Health Sciences Centre Research Ethics Board and locally by the St."
"10.1101/2022.06.24.22276144";"Inclusion and Exclusion Criteria";"notrequired.";"All adult patients (aged ≥ 18 years) who had received a kidney transplant and had a functioning allograft were considered eligible for inclusion."
"10.1101/2022.06.24.22276144";"Attrition";"notrequired.";"notdetected."
"10.1101/2022.06.24.22276144";"Sex as a biological variable";"notrequired.";"notdetected."
"10.1101/2022.06.24.22276144";"Subject Demographics";"notrequired.";"All adult patients (aged ≥ 18 years) who had received a kidney transplant and had a functioning allograft were considered eligible for inclusion."
"10.1101/2022.06.24.22276144";"coi_statement";"FALSE";"TRUE"
"10.1101/2022.06.24.22276144";"ethics_statement_detected";"FALSE";"TRUE"
"10.1101/2022.06.24.22276144";"inclusion_criteria_detected";"FALSE";"TRUE"
"10.1101/2022.06.24.22276144";"subject_demographics_detected";"FALSE";"TRUE"
"10.1101/2022.06.24.22276144";"ethics_titles";"NA,NA,NA";"IRB,Consent,NA"
"10.1101/2022.06.24.22276144";"has_consent";"FALSE";"TRUE"
"10.1101/2022.06.24.22276144";"has_IRB_or_consent";"FALSE";"TRUE"
"10.1101/2022.06.28.22276983";"Subject Demographics";"Methods: We conducted a cohort study using de-identified data from the Western Cape Provincial Health Data Centre (WCPHDC) of public sector patients aged >=20 years with a laboratory confirmed COVID-19 diagnosis (positive SARS-CoV-2 PCR or antigen test).";"We conducted a cohort study using de-identified data from the Western Cape Provincial Health Data Centre (WCPHDC) of public sector patients aged ≥20 years with a laboratory confirmed COVID-19 diagnosis (positive SARS-CoV-2 PCR or antigen test)."
"10.1101/2022.06.28.22276983";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.06.29.22277065";"sciscore";"3";"2"
"10.1101/2022.06.29.22277065";"Inclusion and Exclusion Criteria";"The exclusion of immigrant populations from the safety net(48), anemic workplace protections(49), and crowded housing(50) contributed to the large impact of COVID-19 among U.S.";"Data from Canada exclude deaths in the Yukon (<0.1% of Canada’s population)."
"10.1101/2022.06.29.22277065";"Attrition";"Ninety-one percent of the increase in under-65 mortality in the U.S. from 2019 to 2021 would have been averted if the U.S. had the age-specific mortality rates of its peers.";"notrequired."
"10.1101/2022.06.29.22277065";"Power Analysis";"Beginning with the genocide of native populations and the enslavement of people of African descent,(35, 36) and continuing through a long history of discrimination, segregation, and exclusion, U.S. policies have directly harmed the health of Black and Native Americans (21), and these harms have reverberated through the intergenerational transfer of resources, power, and health.";"notdetected."
"10.1101/2022.06.29.22277065";"funding_statement";"FALSE";"TRUE"
"10.1101/2022.06.29.22277065";"power_analysis_detected";"TRUE";"FALSE"
"10.1101/2022.06.29.22277065";"attrition_detected";"TRUE";"FALSE"
"10.1101/2022.06.29.498191";"sciscore";"4";"5"
"10.1101/2022.06.29.498191";"funding_statement";"FALSE";"TRUE"
