approp,bar,bardot,box,dot,flowno,flowyes,hist,other,pie,text,violin,paper_id
1,5,0,0,0,0,0,0,0,0,18,0,10.1101/2022.04.04.486920
0,0,1,1,12,0,0,0,3,0,43,4,10.1101/2022.06.06.22275865
1,0,0,0,0,0,0,0,3,0,18,0,10.1101/2022.04.25.22274187
0,0,0,1,0,0,0,0,4,0,14,0,10.1101/2022.05.28.22275432
0,0,0,0,0,0,0,0,4,0,22,0,10.1101/2022.05.13.22275054
1,5,0,0,2,0,0,0,0,0,20,0,10.1101/2022.06.29.498191
0,0,0,0,0,0,0,0,7,0,19,0,10.1101/2022.04.07.22273561
0,0,0,0,0,0,1,0,0,0,45,0,10.1101/2022.04.14.22273858
2,0,0,0,0,0,0,0,6,0,14,0,10.1101/2022.05.04.22274675
0,1,1,0,0,0,0,0,2,0,23,0,10.1101/2022.05.21.492920
3,0,0,0,0,0,0,1,5,1,42,0,10.1101/2022.06.03.494642
1,1,0,0,0,0,0,1,11,0,22,0,10.1101/2022.05.20.492815
0,0,0,0,0,0,0,0,1,0,18,0,10.1101/2022.05.10.22274919
0,0,0,0,0,0,0,0,11,0,9,3,10.1101/2022.05.20.492819
0,0,0,0,3,0,0,0,0,0,17,0,10.1101/2022.05.13.491916
0,0,0,0,0,0,0,0,4,0,10,0,10.1101/2022.04.27.22274400
0,0,0,0,0,0,0,0,4,0,12,0,10.1101/2022.04.03.22273268
0,0,0,0,0,0,0,2,4,0,24,0,10.1101/2022.05.26.22275279
0,0,0,0,0,0,0,0,1,0,7,0,10.1101/2022.04.06.22273503
0,0,0,0,0,0,0,0,2,0,21,0,10.1101/2022.05.25.22275592
3,0,0,0,0,0,1,1,8,0,13,0,10.1101/2022.04.14.22273903
0,1,0,0,0,0,0,0,3,0,8,0,10.1101/2022.06.02.22275926
0,0,0,0,0,0,0,0,15,0,16,0,10.1101/2022.05.10.491349
1,0,0,0,0,0,0,0,5,0,20,0,10.1101/2022.04.18.488633
0,0,0,2,0,0,0,1,13,0,38,0,10.1101/2022.06.02.494567
0,0,0,1,0,0,0,0,11,0,8,2,10.1101/2022.06.03.22275903
0,2,3,0,0,0,0,0,3,0,24,0,10.1101/2022.06.06.494494
1,0,0,0,1,0,0,1,5,0,21,0,10.1101/2022.04.21.22274110
0,0,0,4,7,0,0,0,2,0,39,2,10.1101/2022.05.27.22275673
0,0,0,0,0,0,0,0,4,0,29,0,10.1101/2022.04.13.22273825
0,1,1,1,0,0,0,6,2,0,36,0,10.1101/2022.05.29.493850
0,0,0,0,1,0,0,1,2,0,35,0,10.1101/2022.06.09.22276228
0,0,1,0,0,0,0,0,1,0,11,0,10.1101/2022.05.06.22274719
1,0,0,1,0,0,0,0,0,0,22,0,10.1101/2022.06.07.22276117
2,2,0,0,0,0,0,0,5,0,18,0,10.1101/2022.06.10.22276268
0,1,0,4,2,0,0,0,0,1,30,0,10.1101/2022.05.10.490700
0,0,0,0,0,0,0,0,4,0,24,0,10.1101/2022.04.29.22274455
0,0,0,0,0,0,1,0,25,0,49,0,10.1101/2022.05.04.22274659
0,3,0,0,0,0,0,0,3,0,27,0,10.1101/2022.05.20.22275380
0,0,0,0,0,0,0,0,2,0,25,5,10.1101/2022.04.08.22273605
0,0,0,0,0,0,0,0,5,0,23,0,10.1101/2022.04.29.22274486
0,0,0,0,10,0,0,0,1,2,42,0,10.1101/2022.06.27.497248
1,0,1,0,0,0,0,0,4,0,11,0,10.1101/2022.05.05.490805
6,2,1,2,2,0,0,0,6,0,14,0,10.1101/2022.04.12.488010
0,0,0,0,0,0,1,0,3,0,44,0,10.1101/2022.04.08.22273608
0,0,0,0,6,0,0,0,1,0,14,0,10.1101/2022.05.17.492198
0,0,0,0,0,0,0,0,3,0,2,0,10.1101/2022.04.19.488067
2,0,0,1,0,0,0,0,8,0,27,0,10.1101/2022.04.18.488682
3,0,2,0,7,0,1,0,3,1,26,2,10.1101/2022.05.09.491201
0,0,0,0,1,0,0,0,2,0,17,0,10.1101/2022.04.07.22273430
0,0,0,0,0,0,0,0,5,0,19,0,10.1101/2022.05.10.22274892
0,0,0,0,0,0,0,0,1,0,28,0,10.1101/2022.04.11.22273702
0,0,0,0,0,1,0,0,3,0,25,0,10.1101/2022.05.27.22275037
0,0,0,0,0,0,0,1,2,0,20,0,10.1101/2022.05.11.22274949
1,0,1,0,7,0,0,0,5,0,42,0,10.1101/2022.04.12.488051
2,0,0,0,0,0,0,0,7,0,25,0,10.1101/2022.04.13.22273832
2,0,0,0,0,0,0,0,7,0,17,0,10.1101/2022.05.23.22275454
1,2,0,0,0,0,0,0,3,0,39,0,10.1101/2022.04.19.488843
2,0,2,3,11,0,0,1,1,0,47,1,10.1101/2022.05.23.493121
0,0,0,0,0,0,1,1,2,0,21,0,10.1101/2022.05.05.22274721
0,0,1,0,0,0,0,0,1,0,13,0,10.1101/2022.04.20.485440
0,0,0,0,0,0,0,0,1,0,11,0,10.1101/2022.06.04.22275993
0,0,0,0,1,0,0,0,3,0,17,1,10.1101/2022.05.20.22275359
0,1,0,0,0,0,0,0,4,0,22,0,10.1101/2022.05.21.22275413
0,0,0,0,2,0,0,0,0,0,19,1,10.1101/2022.05.05.490815
0,0,0,0,2,0,0,0,7,0,19,2,10.1101/2022.04.07.22273593
0,1,0,1,0,0,0,0,0,0,25,0,10.1101/2022.04.08.22273532
0,0,0,0,0,0,0,1,12,0,39,1,10.1101/2022.06.05.494856
0,0,0,1,6,0,0,0,6,1,17,0,10.1101/2022.06.14.496062
2,0,0,3,3,0,0,0,8,0,39,3,10.1101/2022.06.01.494373
0,0,0,0,0,0,0,0,6,0,17,0,10.1101/2022.04.17.22273949
0,0,0,1,0,0,1,0,0,0,16,0,10.1101/2022.06.02.22275918
0,0,0,0,0,0,0,0,3,0,23,0,10.1101/2022.04.04.22273418
0,0,1,0,2,0,0,0,0,0,15,0,10.1101/2022.06.16.22276392
0,0,0,2,0,0,0,1,2,0,19,0,10.1101/2022.04.04.22273429
0,0,0,0,0,0,1,0,2,0,15,0,10.1101/2022.05.20.22275312
0,0,2,0,0,0,0,0,0,0,12,0,10.1101/2022.04.13.488236
0,0,0,0,1,0,1,0,2,0,23,1,10.1101/2022.04.08.22273602
1,0,0,0,0,0,0,0,2,0,23,0,10.1101/2022.06.06.494965
0,0,0,0,5,0,0,0,5,0,29,0,10.1101/2022.04.18.22273967
0,0,0,0,0,0,0,0,2,0,15,0,10.1101/2022.06.08.22276134
0,6,4,0,0,0,0,0,5,0,35,0,10.1101/2022.05.20.492832
0,1,0,0,0,0,0,0,4,0,31,0,10.1101/2022.05.11.22274884
0,0,0,0,0,0,2,0,1,0,32,0,10.1101/2022.04.25.22274283
0,0,0,0,0,0,0,0,14,0,68,0,10.1101/2022.04.28.22274442
0,0,0,0,0,0,0,0,1,0,11,0,10.1101/2022.04.15.22273915
0,0,0,0,0,0,0,1,3,0,15,0,10.1101/2022.06.06.22276032
2,0,0,0,0,0,0,0,3,0,19,0,10.1101/2022.04.13.488249
3,0,0,0,0,0,0,1,5,0,41,0,10.1101/2022.04.21.22274150
0,0,0,0,0,0,1,0,3,0,14,0,10.1101/2022.05.20.22275313
0,0,0,0,0,0,1,0,1,0,13,0,10.1101/2022.05.27.22275689
0,0,0,0,1,0,0,0,1,0,16,0,10.1101/2022.04.22.22273686
0,1,0,0,0,0,0,0,3,0,30,0,10.1101/2022.04.11.487828
1,0,4,0,0,0,0,0,0,0,18,0,10.1101/2022.05.12.22274989
0,0,0,0,0,0,0,0,0,0,15,0,10.1101/2022.06.28.22276983
0,0,0,0,0,0,0,0,2,0,8,0,10.1101/2022.06.02.22275934
1,0,0,0,0,0,0,0,3,0,31,0,10.1101/2022.06.07.22275493
0,0,0,0,0,0,1,0,2,0,21,0,10.1101/2022.04.16.22273937
3,0,0,0,0,0,0,0,4,0,13,0,10.1101/2022.05.15.22275071
0,0,0,1,0,0,0,0,1,0,15,0,10.1101/2022.05.09.22274870
2,0,0,0,0,0,0,0,8,0,23,0,10.1101/2022.06.29.22277065
0,0,0,0,0,0,0,0,1,0,4,0,10.1101/2022.05.10.22274866
0,0,0,0,2,0,0,0,1,0,16,0,10.1101/2022.06.11.22276272
0,0,0,0,0,0,0,0,3,1,6,0,10.1101/2022.06.17.22276576
0,0,17,1,1,0,0,0,3,0,23,0,10.1101/2022.06.14.496214
0,4,0,0,0,0,0,0,3,0,20,0,10.1101/2022.05.05.490850
0,0,0,0,2,0,0,0,2,0,6,0,10.1101/2022.05.12.491584
0,0,0,0,0,0,0,0,2,0,39,3,10.1101/2022.06.24.22276144
1,0,0,0,0,0,2,0,0,0,15,0,10.1101/2022.06.01.22275778
0,0,0,0,0,0,0,0,4,0,18,1,10.1101/2022.04.21.22273952
0,0,0,0,2,0,0,0,2,0,12,0,10.1101/2022.04.28.489834
1,0,0,0,0,1,0,2,4,0,7,0,10.1101/2022.04.27.489750
1,2,2,0,0,0,0,0,3,1,11,0,10.1101/2022.05.24.493347
0,0,3,0,5,0,0,0,2,0,35,0,10.1101/2022.06.01.494461
0,0,0,0,0,0,2,0,2,0,19,0,10.1101/2022.05.06.22274771
0,0,0,0,0,0,0,0,3,0,24,0,10.1101/2022.04.12.22273761
1,0,0,0,0,0,0,0,4,0,5,0,10.1101/2022.03.31.22273239
0,0,0,0,0,0,1,0,0,0,27,0,10.1101/2022.05.16.22275074
0,0,0,0,0,0,1,0,0,0,14,0,10.1101/2022.04.05.22273473
0,0,0,0,0,0,1,0,0,0,31,0,10.1101/2022.03.30.22273203
0,9,0,1,0,0,0,0,2,0,40,0,10.1101/2022.05.16.492112
0,0,4,0,0,0,0,0,2,0,51,0,10.1101/2022.05.24.493348
0,0,0,1,1,0,0,0,2,0,10,0,10.1101/2022.05.16.492062
0,0,0,0,0,0,0,0,0,0,11,0,10.1101/2022.05.17.22275188
0,0,0,0,0,0,0,1,8,0,8,0,10.1101/2022.04.04.22273361
3,0,0,1,1,0,0,0,10,0,44,0,10.1101/2022.04.07.487460
0,0,0,0,0,0,0,0,0,0,21,0,10.1101/2022.04.04.22273344
1,5,0,0,0,0,0,0,5,0,21,0,10.1101/2022.04.28.489859
0,0,1,0,0,0,0,0,0,0,5,0,10.1101/2022.04.13.487939
2,0,0,0,0,0,0,0,2,0,21,0,10.1101/2022.05.12.22274973
0,0,0,1,0,0,1,0,0,0,21,0,10.1101/2022.04.11.22273709
1,0,0,0,0,0,0,0,4,0,17,0,10.1101/2022.05.30.494036
1,3,0,0,0,0,0,0,6,0,22,0,10.1101/2022.04.21.489021
0,1,0,0,0,0,0,0,3,0,12,0,10.1101/2022.04.18.487732
0,0,0,0,0,0,0,0,0,1,24,0,10.1101/2022.05.17.22275034
0,0,0,0,1,0,0,0,6,0,16,0,10.1101/2022.04.11.22272784
0,0,0,0,0,0,0,0,1,0,26,0,10.1101/2022.04.29.22274481
0,0,0,0,0,0,0,0,1,0,10,0,10.1101/2022.05.26.22275649
0,0,0,0,0,0,0,1,8,0,16,0,10.1101/2022.04.21.22274139
1,1,0,0,0,0,0,0,0,0,18,0,10.1101/2022.04.06.22273535
0,0,0,0,0,0,0,0,4,0,7,0,10.1101/2022.05.22.492976
0,5,5,6,4,0,0,3,12,0,48,0,10.1101/2022.06.09.495472
0,0,0,0,0,0,0,1,7,0,12,0,10.1101/2022.04.29.490044
0,0,0,0,4,0,0,0,0,0,18,0,10.1101/2022.04.24.489298
0,0,0,0,0,0,0,0,5,0,12,0,10.1101/2022.05.25.22275610
0,0,0,0,0,0,0,1,5,0,12,0,10.1101/2022.05.16.22275147
2,0,0,0,0,2,0,0,1,0,26,0,10.1101/2022.05.05.22274628
0,0,0,0,1,0,1,0,3,0,11,0,10.1101/2022.05.10.22274889
0,0,0,0,0,0,0,0,0,0,27,0,10.1101/2022.04.06.22273526
0,0,0,0,0,0,1,0,5,0,36,0,10.1101/2022.06.12.22276088
0,0,0,0,0,0,0,0,0,0,24,0,10.1101/2022.04.25.22274285
0,0,0,0,0,0,0,0,1,0,26,0,10.1101/2022.04.06.22273512
0,0,0,0,0,0,0,0,4,0,14,0,10.1101/2022.06.10.22276234
0,1,0,0,0,0,0,0,9,0,10,0,10.1101/2022.05.27.493795
0,0,0,1,2,0,0,0,3,0,19,0,10.1101/2022.05.22.22275423
0,0,0,0,0,0,0,0,3,0,14,0,10.1101/2022.04.25.22274291
0,0,0,0,0,1,0,0,6,0,27,0,10.1101/2022.05.21.22275420
0,3,0,0,1,0,0,0,1,0,8,0,10.1101/2022.06.05.493249
0,0,0,0,0,0,0,0,3,0,15,0,10.1101/2022.04.13.22273817
0,0,5,0,1,0,0,0,5,0,34,0,10.1101/2022.06.15.496220
2,0,0,0,2,0,0,0,2,0,22,3,10.1101/2022.04.14.22273860
0,0,0,0,0,0,1,0,0,0,18,0,10.1101/2022.06.09.22276192
0,0,6,1,0,0,0,0,4,0,28,0,10.1101/2022.05.31.494211
0,0,0,0,0,0,1,1,5,0,31,0,10.1101/2022.05.15.22275051
4,0,0,0,0,0,0,0,1,0,18,1,10.1101/2022.03.27.22271628
0,0,0,0,0,0,1,0,0,0,20,0,10.1101/2022.06.12.22276299
0,0,0,0,0,0,0,0,0,0,0,0,10.1101/2022.04.12.22273786
0,0,0,0,0,0,2,0,5,0,9,0,10.1101/2022.06.21.22276720
0,0,0,0,0,0,0,0,2,0,32,0,10.1101/2022.05.06.22274782
0,0,0,1,1,0,0,0,14,0,26,0,10.1101/2022.04.04.22273320
0,0,0,0,0,0,0,0,3,0,4,0,10.1101/2022.06.01.494451
0,0,0,0,0,0,0,0,0,0,16,0,10.1101/2022.04.26.22274256
1,0,0,0,0,1,0,0,0,0,12,0,10.1101/2022.03.28.22272975
0,0,7,0,3,0,0,0,4,0,31,0,10.1101/2022.04.06.487394
0,0,0,0,6,0,0,0,0,0,20,0,10.1101/2022.05.17.22275154
2,0,0,0,0,0,0,0,1,0,28,0,10.1101/2022.06.13.22276314
0,0,0,3,2,0,0,0,1,0,35,0,10.1101/2022.05.31.494162
0,0,0,0,0,1,1,0,0,0,31,0,10.1101/2022.03.31.22273257
0,0,0,0,0,0,0,0,2,0,11,0,10.1101/2022.04.07.22273549
1,0,0,0,0,0,0,0,6,0,35,0,10.1101/2022.06.07.22276055
0,0,0,0,0,0,0,0,2,2,11,0,10.1101/2022.04.27.22274357
0,0,0,0,0,0,0,0,7,0,21,0,10.1101/2022.06.05.494897
0,0,0,0,0,0,1,0,2,0,14,0,10.1101/2022.06.20.22276645
0,1,0,0,0,0,0,1,6,0,17,0,10.1101/2022.05.27.493400
0,0,0,0,0,0,0,0,11,0,12,0,10.1101/2022.05.16.492178
0,0,0,0,0,0,1,0,1,0,19,0,10.1101/2022.04.05.22272397
0,0,0,0,0,0,0,1,3,0,26,0,10.1101/2022.05.12.22274823
0,0,4,2,1,0,0,0,0,0,33,0,10.1101/2022.05.16.492138
0,0,0,0,2,0,1,0,1,0,22,0,10.1101/2022.06.08.22276125
0,0,0,0,0,0,0,0,0,0,14,0,10.1101/2022.05.15.22273945
1,0,0,0,0,0,0,0,2,0,21,0,10.1101/2022.04.22.22274176
0,0,0,0,0,0,0,0,4,0,11,0,10.1101/2022.04.12.22273804
0,0,0,0,0,0,0,0,4,0,14,0,10.1101/2022.04.05.22273169
1,0,0,0,0,0,0,0,49,0,26,0,10.1101/2022.05.31.22275835
0,0,0,0,0,0,2,0,1,0,33,0,10.1101/2022.04.06.22273514
2,0,0,0,0,0,0,1,4,0,14,0,10.1101/2022.03.29.22273148
2,0,0,0,0,0,1,0,1,0,25,0,10.1101/2022.05.26.22275631
0,0,0,0,0,0,0,0,35,0,105,0,10.1101/2022.06.01.22275842
1,0,0,0,1,0,0,1,9,1,25,0,10.1101/2022.05.13.491770
0,0,0,0,0,0,1,0,4,0,21,0,10.1101/2022.05.25.22275586
